43	601688	华泰证券	22.11	股吧 行情 档案 资讯	金融	南京市	0.78	0.32	13.79	2.33	90.77	90.77	1626.77
44	601669	中国电建	3.77	股吧 行情 档案 资讯	建筑	北京市	0.18	0.11	5.62	1.55	152.99	111.44	420.14
45	601668	中国建筑	5.08	股吧 行情 档案 资讯	建筑	北京市	0.68	0.18	6.27	2.80	419.65	412.54	2095.68
46	601658	邮储银行	4.77	股吧 行情 档案 资讯		北京市	0.08	0.23	6.00	3.37	869.79	237.35	185.03
47	601633	长城汽车	8.42	股吧 行情 档案 资讯	交运设备	保定市	0.06	-0.07	5.86	-1.20	91.77	91.27	507.53
48	601628	中国人寿	33.04	股吧 行情 档案 资讯	金融	北京市	0.32	0.60	14.36	4.18	282.65	282.65	6880.09
49	601618	中国中冶	2.71	股吧 行情 档案 资讯	建筑	北京市	0.12	0.09	3.56	1.96	207.24	207.24	483.81
50	601607	上海医药	19.01	股吧 行情 档案 资讯	医药生物	上海市	0.14	0.37	14.99	2.46	28.42	28.42	365.55
51	601601	中国太保	30.70	股吧 行情 档案 资讯	金融	上海市	0.52	0.93	20.52	4.60	95.76	95.76	2087.93
52	601600	中国铝业	2.99	股吧 行情 档案 资讯	有色金属	北京市	0.12	0.00	2.88	0.06	170.23	170.23	391.05
53	601577	长沙银行	8.57	股吧 行情 档案 资讯	金融	长沙市	0.06	0.45	10.63	3.69	34.22	9.95	85.30
54	601555	东吴证券	9.70	股吧 行情 档案 资讯	金融	苏州市	0.18	0.12	6.95	1.55	38.81	38.81	376.41
55	601398	工商银行	5.16	股吧 行情 档案 资讯	金融	北京市	1.15	0.24	7.18	3.11	3564.06	3564.06	13911.99
56	601390	中国中铁	5.31	股吧 行情 档案 资讯	建筑	北京市	0.28	0.13	7.87	1.62	245.71	228.44	989.62
57	601377	兴业证券	7.69	股吧 行情 档案 资讯	金融	福州市	0.22	0.04	5.19	0.78	66.97	66.97	514.97
58	601360	三六零	19.38	股吧 行情 档案 资讯	机械设备	天津市	0.12	0.05	4.26	1.25	67.64	17.89	346.75
59	601336	新华保险	50.55	股吧 行情 档案 资讯	金融	北京市	0.26	1.49	28.09	5.39	31.20	31.20	1054.19
60	601328	交通银行	5.35	股吧 行情 档案 资讯	金融	上海市	0.94	0.25	9.57	2.68	742.63	742.63	2099.92
61	601319	中国人保	7.70	股吧 行情 档案 资讯		北京市	0.10	0.16	4.25	3.81	442.24	143.28	431.32
62	601318	中国平安	77.96	股吧 行情 档案 资讯	金融	深圳市	5.34	1.47	37.76	3.82	182.80	182.80	8445.15
63	601298	青岛港	5.99	股吧 行情 档案 资讯		青岛市	0.03	0.15	4.83	3.22	64.91	29.69	112.01
64	601288	农业银行	3.51	股吧 行情 档案 资讯	金融	北京市	0.64	0.18	5.20	3.23	3499.83	3247.94	10321.34
65	601238	广汽集团	9.57	股吧 行情 档案 资讯	交运设备	广州市	0.06	0.01	7.80	0.15	102.38	91.83	582.29
66	601236	红塔证券	22.57	股吧 行情 档案 资讯		昆明市	0.05	0.13	3.82	3.56	36.33	3.64	82.15
67	601231	环旭电子	22.44	股吧 行情 档案 资讯	电子设备	上海市	0.10	0.09	4.82	1.84	21.81	21.81	489.48
68	601229	上海银行	8.90	股吧 行情 档案 资讯	金融	上海市	0.55	0.37	11.43	2.92	142.07	135.96	1210.06
69	601225	陕西煤业	7.99	股吧 行情 档案 资讯	能源	西安市	0.20	0.24	6.10	3.95	100.00	100.00	799.00
70	601216	君正集团	2.77	股吧 行情 档案 资讯	基础化工	乌海市	0.06	0.07	2.32	3.26	84.38	84.38	233.73
71	601212	白银有色	2.79	股吧 行情 档案 资讯	有色金属	白银市	0.03	-0.05	1.50	-2.85	74.05	74.05	206.59
72	601211	国泰君安	19.58	股吧 行情 档案 资讯	金融	上海市	0.54	0.19	13.79	1.32	89.08	89.08	1471.66
73	601198	东兴证券	12.68	股吧 行情 档案 资讯	金融	北京市	0.11	0.11	7.49	1.51	27.58	27.58	349.71
74	601186	中国铁建	8.98	股吧 行情 档案 资讯	建筑	北京市	0.26	0.18	12.66	1.41	135.80	135.80	1032.99
75	601169	北京银行	5.14	股吧 行情 档案 资讯	金融	北京市	0.49	0.32	9.32	3.16	211.43	182.48	937.95
76	601166	兴业银行	16.97	股吧 行情 档案 资讯	金融	福州市	1.34	1.01	24.42	3.80	207.74	196.15	3328.71
77	601162	天风证券	7.15	股吧 行情 档案 资讯		武汉市	0.15	0.02	2.63	0.54	66.66	38.38	274.45
78	601155	新城控股	34.43	股吧 行情 档案 资讯	房地产	常州市	0.20	0.12	17.08	0.71	22.57	22.45	773.12
79	601138	工业富联	15.91	股吧 行情 档案 资讯		深圳市	0.20	0.09	4.59	2.07	198.72	18.68	297.21
